text,retweet_count,favorite_count,created_at,preprocessed_text,sentiment_neg,sentiment_pos,sentiment_neutral,sentiment,sentiment_group,ORG_entities,GPE_entities
RT @Tesla: Model S Plaid with track pack just set new lap record for a production EV at Nürburgring 💪 https://t.co/jrUCkt95jw,1891,0,2023-06-08 09:04:48+00:00,"['rt', 'tesla', 'model', 'plaid', 'track', 'pack', 'set', 'new', 'lap', 'record', 'production', 'ev', 'nürburgring', '💪']",0.0,0.0,1.0,0.0,Neutral,[],[]
RT @Figensport: The Oscar goes to... https://t.co/dOYr71Owlf,1758,0,2023-06-08 09:25:24+00:00,"['rt', 'figensport', 'oscar', 'go']",0.0,0.0,1.0,0.0,Neutral,[],[]
"RT @WhiteHouse: Under @POTUS, private companies have announced over $470 billion in manufacturing and clean energy investments.

And, we’ve…",1683,0,2023-06-08 08:30:47+00:00,"['rt', 'whitehouse', 'potus', 'private', 'company', 'announced', '470', 'billion', 'manufacturing', 'clean', 'energy', 'investment', '’', 've…']",0.0,0.304,0.696,0.5859,Positive,[],[]
"RT @RichardWellings: It's a repeat of the diesel scam. They're sucking people in with subsidies and tax breaks, before they tell us ""EVs ar…",1654,0,2023-06-08 10:05:39+00:00,"['rt', 'richardwellings', 'repeat', 'diesel', 'scam', 'theyre', 'sucking', 'people', 'subsidy', 'tax', 'break', 'tell', 'u', 'ev', 'ar…']",0.222,0.0,0.778,-0.5719,Negative,[],[]
"RT @KaraJarina: Clean, renewable energy and storage must displace fossil fuels in powering everything we do. A clean energy revolution. Cou…",1618,0,2023-06-08 07:05:51+00:00,"['rt', 'karajarina', 'clean', 'renewable', 'energy', 'storage', 'must', 'displace', 'fossil', 'fuel', 'powering', 'everything', 'clean', 'energy', 'revolution', 'cou…']",0.0,0.444,0.556,0.8225,Positive,[],[]
RT @anndemeuleprada: vintage dior pierced saddle bag https://t.co/Ghe0oG4UjQ,1562,0,2023-06-08 09:03:38+00:00,"['rt', 'anndemeuleprada', 'vintage', 'dior', 'pierced', 'saddle', 'bag']",0.0,0.0,1.0,0.0,Neutral,[],[]
RT @aproko_doctor: We've inspected/costed what it will take to give solar panels in this hospital so we can save the lives of newborns and…,1436,0,2023-06-08 08:28:46+00:00,"['rt', 'aprokodoctor', 'weve', 'inspectedcosted', 'take', 'give', 'solar', 'panel', 'hospital', 'save', 'life', 'newborn', 'and…']",0.0,0.211,0.789,0.4939,Positive,[],[]
"RT @AlexEpstein: “‘Green energy’ has 2 problems

1) It’s not really energy: It doesn’t provide reliable energy

2) It’s not really green: I…",1296,0,2023-06-08 09:54:58+00:00,"['rt', 'alexepstein', '“', '‘', 'green', 'energy', '’', '2', 'problem', '1', '’', 'really', 'energy', '’', 'provide', 'reliable', 'energy', '2', '’', 'really', 'green', 'i…']",0.15,0.35,0.5,0.3818,Positive,[],[]
"RT @AlexEpstein: “Green energy” has 2 problems
1) It’s not really energy: It doesn’t provide reliable energy
2) It’s not really green: It h…",1212,0,2023-06-08 08:36:25+00:00,"['rt', 'alexepstein', '“', 'green', 'energy', '”', '2', 'problem', '1', '’', 'really', 'energy', '’', 'provide', 'reliable', 'energy', '2', '’', 'really', 'green', 'h…']",0.15,0.35,0.5,0.3818,Positive,[],[]
"RT @lerrashop: ⚪ Water &amp; wind proof
⚪ 3x more power than normal lighters
⚪ Heirloom style durability Masterfully crafted leather embossed d…",1190,0,2023-06-08 09:20:47+00:00,"['rt', 'lerrashop', '⚪', 'water', 'amp', 'wind', 'proof', '⚪', '3x', 'power', 'normal', 'lighter', '⚪', 'heirloom', 'style', 'durability', 'masterfully', 'crafted', 'leather', 'embossed', 'd…']",0.0,0.0,1.0,0.0,Neutral,[],[]
"RT @ECOWARRIORSS: You can have all renewable energy in world but if you are going to destroy Earth ancient forests such as the Congo Basin,…",1174,0,2023-06-08 08:58:12+00:00,"['rt', 'ecowarriorss', 'renewable', 'energy', 'world', 'going', 'destroy', 'earth', 'ancient', 'forest', 'congo', 'basin…']",0.224,0.135,0.641,-0.34,Negative,[],[]
RT @LukeJohnsonRCP: Net Zero is a form of economic and social suicide  https://t.co/niFJlcN5Rb,1170,0,2023-06-08 08:35:55+00:00,"['rt', 'lukejohnsonrcp', 'net', 'zero', 'form', 'economic', 'social', 'suicide']",0.391,0.0,0.609,-0.6705,Negative,[],[]
"RT @POTUS: The Bipartisan Infrastructure Law is rebuilding America.
The CHIPS and Science Act is fueling a manufacturing boom.
The Inflatio…",1141,0,2023-06-08 09:05:21+00:00,"['rt', 'potus', 'bipartisan', 'infrastructure', 'law', 'rebuilding', 'america', 'chip', 'science', 'act', 'fueling', 'manufacturing', 'boom', 'inflatio…']",0.0,0.0,1.0,0.0,Neutral,[],['america']
RT @SwiftNYC: Taylor Swift released the #SpeakNowTaylorsVersion album back cover which includes 6 from the vault songs and collaborations w…,1132,0,2023-06-08 09:36:01+00:00,"['rt', 'swiftnyc', 'taylor', 'swift', 'released', 'speaknowtaylorsversion', 'album', 'back', 'cover', 'includes', '6', 'vault', 'song', 'collaboration', 'w…']",0.0,0.122,0.878,0.2023,Positive,['collaboration w'],[]
"RT @POTUS: For decades, America shipped jobs overseas.
 
Other countries surpassed us in sectors like infrastructure, clean energy, semicon…",1108,0,2023-06-08 09:42:51+00:00,"['rt', 'potus', 'decade', 'america', 'shipped', 'job', 'overseas', 'country', 'surpassed', 'u', 'sector', 'like', 'infrastructure', 'clean', 'energy', 'semicon…']",0.0,0.378,0.622,0.743,Positive,[],['rt potus decade america']
"RT @BeckettUnite: Wholesale Gas is 12 times cheaper today than August 2022.

That was the day your energy price cap was hiked by 80%.

Big…",890,0,2023-06-08 09:22:35+00:00,"['rt', 'beckettunite', 'wholesale', 'gas', '12', 'time', 'cheaper', 'today', 'august', '2022', 'day', 'energy', 'price', 'cap', 'hiked', '80', 'big…']",0.0,0.116,0.884,0.2732,Positive,[],[]
"RT @AukeHoekstra: I love Rowan Atkinson the comedian and I believe he learned electrical engineering once, but I feel this erroneous articl…",888,0,2023-06-08 09:18:48+00:00,"['rt', 'aukehoekstra', 'love', 'rowan', 'atkinson', 'comedian', 'believe', 'learned', 'electrical', 'engineering', 'feel', 'erroneous', 'articl…']",0.143,0.347,0.51,0.6124,Positive,[],[]
"RT @DocumentingBTC: ₿𝗥𝗘𝗔𝗞𝗜𝗡𝗚: The El Salvador government raises $1,000,000,000 to build one of the largest #bitcoin mines in the world powe…",812,0,2023-06-08 08:29:59+00:00,"['rt', 'documentingbtc', '₿𝗥𝗘𝗔𝗞𝗜𝗡𝗚', 'el', 'salvador', 'government', 'raise', '1000000000', 'build', 'one', 'largest', 'bitcoin', 'mine', 'world', 'powe…']",0.0,0.0,1.0,0.0,Neutral,[],"['₿', 'el salvador government']"
RT @POTUS: Our bipartisan budget agreement protects our economic progress – including the $470 billion in private investment we’ve spurred…,766,0,2023-06-08 09:46:51+00:00,"['rt', 'potus', 'bipartisan', 'budget', 'agreement', 'protects', 'economic', 'progress', '–', 'including', '470', 'billion', 'private', 'investment', '’', 'spurred…']",0.0,0.43,0.57,0.8074,Positive,[],[]
RT @SawyerMerritt: NEWS: The US Government has updated its webiste confirming that all new Tesla Model Y/3s sold in the US are eligible for…,745,0,2023-06-08 09:02:42+00:00,"['rt', 'sawyermerritt', 'news', 'u', 'government', 'updated', 'webiste', 'confirming', 'new', 'tesla', 'model', 'y3s', 'sold', 'u', 'eligible', 'for…']",0.0,0.0,1.0,0.0,Neutral,[],[]
RT @POTUS: Our historic investments in clean energy manufacturing – now protected under the bipartisan budget agreement – are helping us bu…,693,0,2023-06-08 09:03:04+00:00,"['rt', 'potus', 'historic', 'investment', 'clean', 'energy', 'manufacturing', '–', 'protected', 'bipartisan', 'budget', 'agreement', '–', 'helping', 'u', 'bu…']",0.0,0.621,0.379,0.9022,Positive,[],[]
RT @patrickbetdavid: God is in charge. https://t.co/nKJRWJmZtn,658,0,2023-06-08 02:03:46+00:00,"['rt', 'patrickbetdavid', 'god', 'charge']",0.0,0.412,0.588,0.2732,Positive,[],[]
"RT @SriSri: Was received by the Prime Minister of Slovenia, Robert Golob, and we discussed various issues concerning the environment and re…",636,0,2023-06-08 10:06:31+00:00,"['rt', 'srisri', 'received', 'prime', 'minister', 'slovenia', 'robert', 'golob', 'discussed', 'various', 'issue', 'concerning', 'environment', 're…']",0.0,0.0,1.0,0.0,Neutral,[],[]
RT @POTUS: Our final bipartisan budget agreement allows us to bring clean energy projects online faster while continuing to protect our env…,632,0,2023-06-08 09:31:45+00:00,"['rt', 'potus', 'final', 'bipartisan', 'budget', 'agreement', 'allows', 'u', 'bring', 'clean', 'energy', 'project', 'online', 'faster', 'continuing', 'protect', 'env…']",0.0,0.469,0.531,0.8625,Positive,[],[]
"RT @LNGAction: Europe has labelled liquified natural gas as a “green” energy source.

Canadian exports will have the lowest emissions on ea…",570,0,2023-06-08 10:04:32+00:00,"['rt', 'lngaction', 'europe', 'labelled', 'liquified', 'natural', 'gas', '“', 'green', '”', 'energy', 'source', 'canadian', 'export', 'lowest', 'emission', 'ea…']",0.135,0.24,0.625,0.25,Positive,[],[]
RT @greg_price11: I wrote in depth about the situation facing South Dakota landowners and the loss of their property via eminent domain so…,537,0,2023-06-08 09:40:28+00:00,"['rt', 'gregprice11', 'wrote', 'depth', 'situation', 'facing', 'south', 'dakota', 'landowner', 'loss', 'property', 'via', 'eminent', 'domain', 'so…']",0.141,0.0,0.859,-0.3182,Negative,['gregprice11'],[]
