Topic,Count,Name,Representation,Representative_Docs,sentiment_neutral,sentiment_pos,sentiment_neg,representative_text_indexes,topic_color
-1,16,-1_court_appeals_nevada_appeals court,"['court', 'appeals', 'nevada', 'appeals court', 'environmentalists', 'lithium nevada', 'ion', 'lithium', 'huge lithium nevada', 'huge lithium']","[""A U.S. appeals court will consider challenges Tuesday to a huge lithium mine in Nevada in a case that pits environmentalists and Native Americans against President Joe Biden's plans to combat climate change and could have broad implications for mining operations across the West."", 'A U.S. appeals court will consider challenges Tuesday to a huge lithium mine in Nevada in a case that pits environmentalists and Native Americans against President Joe Biden’s plans to combat climate change and could have broad implications for mining operations across the West.For the first time since it blocked construction of an Arizona copper mine last year, the 9th U.S. Circuit Court of Appeals was scheduled to hear oral arguments in a two-year-old legal battle with striking similarities to the Arizona case. The Nevada mine is in the works near the Oregon line and would involve...', 'RENO, Nev. (AP) &#8212; A U.S. appeals court will consider challenges Tuesday to a huge lithium mine in Nevada in a case that pits environmentalists and Native Americans against President Joe Biden&#8217;s plans to combat climate change and could have broad implications for mining operations across the West. For the first time since it blocked [&#8230;]']",0.8295,0.0985,0.0719375,"[4, 6, 9]","(128, 128, 128)"
0,99,0_lithium_marketscreenercom_company_2023,"['lithium', 'marketscreenercom', 'company', '2023', 'june', 'project', 'new', 'battery', 'pleased', 'energy']","['(marketscreener.com) NOT FOR DISTRIBUTION TO U.S NEWSWIRE SERVICES OR FOR DISSEMINATION IN THE UNITED STATES MONTREAL, June 28, 2023 -- &nbsp;Opus One Gold Corp &nbsp; is pleased to announce that it has reached an agreement for the acquisition of a 100% interest of a second property for lithium in the Eeyou Itschee Territory, James Bay, Quebec, in a district that...https://www.marketscreener.com/quote/stock/OPUS-ONE-GOLD-CORPORATION-49478078/news/Opus-One-Gold-Corp-Acquires-a-Second-Property-With-Lithium-Potential-Near-Q2-MIA-Lithium-Discovery-44214094/?utm_medium=RSS&utm_content=20230628', 'Galan Lithium Limited (ASX: GLN) (Galan or the Company) is very pleased to announce that on Friday 23 June 2023, the Catamarca Ministro – Ministerio de Mineria (Mines Department Minister) granted Galan the initial permits for the Phase 1 development of the Hombre Muerto West lithium brine project. The permit allows the development of the pre-construction activities, such as the commissioning of the new camp, removal of top-soil and preliminary testing activities for securing the ground quality. Upon the completion of these activities, Galan will be ready to accelerate the construction of the...', 'Threatened by possible shortages of lithium for electric car batteries, automakers are racing to lock in supplies of the once-obscure “white gold” in a politically and environmentally fraught competition from China to Nevada to Chile. General Motors Co. and the parent company of China’s BYD Auto Ltd. went straight to the source and bought stakes in lithium miners, a rare step in an industry that relies on outside vendors for copper and other raw materials. Others are investing in lithium refining or ventures to recycle the silvery-white metal from used batteries. A shortfall in lithium...']",0.818050505050505,0.12406060606060607,0.05786868686868687,"[50, 109, 118]","(45, 238, 64)"
1,39,1_shares_traded_stock_lithium,"['shares', 'traded', 'stock', 'lithium', 'trading', '8211', '8230', 'rating', 'average', '8211 rating']","['Shares of Neo Lithium Corp. (OTCMKTS:NTTHF &#8211; Get Rating) shot up 0.4% during trading on Monday . The stock traded as high as $5.12 and last traded at $5.10. 67,500 shares traded hands during trading, a decline of 53% from the average session volume of 145,100 shares. The stock had previously closed at $5.08. Neo [&#8230;]', 'Shares of Critical Elements Lithium Co. (OTCMKTS:CRECF &#8211; Free Report) shot up 0.4% during trading on Wednesday . The company traded as high as $1.31 and last traded at $1.31. 60,444 shares changed hands during trading, a decline of 10% from the average session volume of 66,972 shares. The stock had previously closed at $1.31. [&#8230;]', 'Shares of Piedmont Lithium Inc. (NASDAQ:PLL &#8211; Get Rating) were up 6.4% during mid-day trading on Friday . The company traded as high as $61.09 and last traded at $60.78. Approximately 152,288 shares changed hands during mid-day trading, a decline of 67% from the average daily volume of 457,796 shares. The stock had previously closed [&#8230;]']",0.807923076923077,0.1631025641025641,0.02897435897435897,"[80, 92, 150]","(66, 119, 63)"
2,14,2_atlas_atlas lithium_class_investors,"['atlas', 'atlas lithium', 'class', 'investors', 'action', 'class action', 'lithium', 'lawsuit', 'atlas lithium corporation', 'lithium corporation']","['(marketscreener.com) The Schall Law Firm, a national shareholder rights litigation firm, reminds investors of a class action lawsuit against Atlas Lithium Corporation for violations of &sect;&sect;10 and 20 of the Securities Exchange Act of 1934 and Rule 10b-5 promulgated thereunder by the U.S. Securities and Exchange Commission.Investors who purchased the...https://www.marketscreener.com/quote/stock/ATLAS-LITHIUM-CORPORATION-120795033/news/SHAREHOLDER-ACTION-ALERT-The-Schall-Law-Firm-Encourages-Investors-in-Atlas-Lithium-Corporation-with-44042021/?utm_medium=RSS&utm_content=20230605', '(marketscreener.com) NEW YORK, June 26, 2023 /PRNewswire/ -- Attention Atlas Lithium Corporation shareholders:The Law Offices of Vincent Wong announce that a class action lawsuit has commenced on behalf of investors who purchased between March 25, 2022 and May 3, 2023.If you suffered a loss on your investment in Atlas Lithium, contact us about potential recovery...https://www.marketscreener.com/quote/stock/ATLAS-LITHIUM-CORPORATION-120795033/news/CLASS-ACTION-ALERT-The-Law-Offices-of-Vincent-Wong-Remind-Atlas-Lithium-Investors-of-a-Lead-Plainti-44185976/?utm_medium=RSS&utm_content=20230626', '(marketscreener.com) Attorney Advertising--Bronstein, Gewirtz &amp; Grossman, LLC notifies investors that a class action lawsuit has been filed against Atlas Lithium Corp. and certain of its officers, on behalf of all persons and entities that purchased or otherwise acquired Atlas Lithium securities between March 25, 2022 and May 3, 2023, . Such investors are...https://www.marketscreener.com/quote/stock/ATLAS-LITHIUM-CORPORATION-120795033/news/Bronstein-Gewirtz-Grossman-LLC-Notifies-Atlas-Lithium-Corp-ATLX-Investors-of-Class-Action-44062895/?utm_medium=RSS&utm_content=20230607']",0.8057142857142857,0.07764285714285714,0.1167142857142857,"[33, 69, 81]","(248, 1, 11)"
3,14,3_8211 rating_rating_8211_lithium,"['8211 rating', 'rating', '8211', 'lithium', 'materials', 'atlas', 'earnings', 'valuation', 'analyst', 'atlas lithium']","['Atlas Lithium (NASDAQ:ATLX &#8211; Get Rating) and 5E Advanced Materials (NASDAQ:FEAM &#8211; Get Rating) are both small-cap basic materials companies, but which is the superior business? We will contrast the two businesses based on the strength of their valuation, profitability, analyst recommendations, institutional ownership, earnings, dividends and risk. Valuation & Earnings This table compares Atlas [&#8230;]', 'Atlas Lithium (NASDAQ:ATLX &#8211; Get Rating) and Piedmont Lithium (NASDAQ:PLL &#8211; Get Rating) are both small-cap basic materials companies, but which is the superior investment? We will compare the two businesses based on the strength of their profitability, risk, earnings, analyst recommendations, valuation, dividends and institutional ownership. Earnings & Valuation This table compares Atlas Lithium [&#8230;]', 'Tronox (NYSE:TROX &#8211; Get Rating) and Lithium & Boron Technology (OTCMKTS:LBTI &#8211; Get Rating) are both basic materials companies, but which is the superior investment? We will contrast the two businesses based on the strength of their institutional ownership, analyst recommendations, earnings, valuation, risk, profitability and dividends. Volatility and Risk Tronox has a beta of [&#8230;]']",0.8272142857142857,0.1005,0.07242857142857143,"[21, 142, 143]","(145, 178, 95)"
4,13,4_goodenough_nobel_john goodenough_john,"['goodenough', 'nobel', 'john goodenough', 'john', 'prize', 'nobel prize', 'died', '100', 'texas', 'lithiumion']","['By Elizabeth Wolfe, CNN (CNN) &#8212; John B. Goodenough, the Nobel Prize-winning engineer whose contributions to developing lithium-ion batteries revolutionized portable technology, has died. He was 100. He died Sunday, according to a release from the University of Texas at Austin, where Goodenough served as a faculty member for 37 years. His cause of deathThe post John Goodenough, the Nobel Prize winner whose development of lithium ion batteries helped create ‘a rechargable world’, has died at 100 appeared first on KRDO.', 'John Goodenough was the oldest person to receive a Nobel Prize in 2019 at 97 when he shared the award with British-born American scientist M. Stanley Whittingham and Japan’s Akira Yoshino.Associated Press AUSTIN, Texas — John Goodenough, who shared the&nbsp;2019 Nobel Prize in chemistry&nbsp;for his work developing the lithium-ion battery that transformed technology with rechargeable power for devices ranging from cellphones, computers, and pacemakers to electric cars, has died at 100, the University of Texas announced Monday.Goodenough died Sunday at an assisted-living facility in Austin...', 'John Goodenough, who shared the 2019 Nobel Prize in chemistry for his work developing the lithium-ion battery that transformed technology with rechargeable power for devices ranging from cellphones, computers and pacemakers to electric cars, has died at 100. His death was announced Monday by the University of Texas where he was on the faculty for nearly 40 years. Goodenough was 97 when he shared the Nobel Prize with M. Stanley Whittingham and Akira Yoshino. Goodenough was the oldest Nobel winner in history.']",0.7618461538461538,0.1682307692307692,0.07,"[14, 116, 126]","(61, 139, 73)"
