text,retweet_count,favorite_count,created_at
"RT @LNGAction: Europe has labelled liquified natural gas as a “green” energy source.

Canadian exports will have the lowest emissions on ea…",570,0,2023-06-08 10:04:32+00:00
RT @greg_price11: I wrote in depth about the situation facing South Dakota landowners and the loss of their property via eminent domain so…,537,0,2023-06-08 09:40:28+00:00
RT @SaharaReporters: Nigerian Lawmaker Abandons Car For Electric Bicycle To Identify With Masses Over Fuel Price Hike In Adamawa | Sahara R…,537,0,2023-06-05 09:45:55+00:00
"RT @thewallabechamp: A Tribe Called Quest 🎧

‘Electric Relaxation’ (1993) https://t.co/EI4KOxBHvV",501,0,2023-06-08 09:30:50+00:00
RT @DeepakA83133961: Saint Gurmeet Ram Rahim Ji always inspires us to #SaveEnergy by making us aware of energy efficiency advancements &amp; by…,490,0,2023-06-08 07:43:53+00:00
"RT @Apple: Say hello yellow to iPhone 14 and iPhone 14 Plus, with larger than life battery life.",489,0,2023-06-08 05:38:56+00:00
RT @Lesufi: We received more than 35000 applications before the deadline on Thursday 08th June. We don’t want to leave you out. This will b…,466,0,2023-06-08 08:38:10+00:00
"RT @realclubsalad: 🌤 Quote of the Day for our #SaladFam!

✨ “The value of an idea lies in the using of it.” — Thomas Edison, co-founder of…",459,0,2023-06-08 09:29:33+00:00
RT @Solis_Inverters: #Soliscases in #Ireland This beautiful Irish installation translates climate commitments into implementation by Soluna…,455,0,2023-06-08 02:01:22+00:00
"RT @Solis_Inverters: To all the incredible women out there, keep shining your light and breaking down barriers. You are valued, cherished,…",450,0,2023-06-08 09:17:11+00:00
"RT @ZacdyDiscounts: ""Indestructible flints based on actual designs from World War 1. Perfect for camping, survival situations, sailing, and…",445,0,2023-06-08 06:54:28+00:00
"RT @wideawake_media: Electric vehicles are not ""green"" in the slightest.

#ClimateScam https://t.co/ZyEZzh2fem",426,0,2023-06-08 09:35:35+00:00
"RT @Quicktake: The promise of a new age of limitless clean energy is dawning in France. 

@FryRsquared goes inside the largest internationa…",411,0,2023-06-08 09:01:17+00:00
"RT @smritiirani: ‘India’s green energy sector to attract $800 bn investment’
 https://t.co/fw2oWosKTb

via NaMo App https://t.co/82TnlKMMnT",390,0,2023-06-08 09:03:56+00:00
"RT @SawyerMerritt: Here is the Mongolian PM meeting virtually with @elonmusk today. 

“We discussed the possibility of welcoming @Tesla to…",373,0,2023-06-08 09:23:53+00:00
"RT @AfricaFactsZone: Nairobi, Kenya is building Africa’s largest kitchen.

It will use 100% green energy through modern cooking technology.…",342,0,2023-06-08 09:46:49+00:00
"RT @RailMinIndia: Head On Generation: Energy Efficiency Redefined in Rail coaches!

#MissionLiFE
#ChooseLiFE https://t.co/wdcSFK0hJm",336,0,2023-06-08 05:38:23+00:00
RT @tme_michael: Apple should start quoting battery life while plugged in for all future products #WWDC23 https://t.co/YbfZ0d3T2k,330,0,2023-06-08 06:04:00+00:00
"RT @OasisMania: Liam Gallagher - KNEBWORTH 22. The live album, out 11.8.23

1.    Hello
2.    Rock ‘n’ Roll Star
3.    Wall Of Glass
4.    …",312,0,2023-06-08 09:28:03+00:00
"RT @DaaruBaazMehta: GOOD NEWS FROM DELHI

Delhi Govt's PWD Dept is working on a proposal to transform the empty spaces below Flyovers.

The…",306,0,2023-06-08 01:31:44+00:00
"RT @WSJCustom: Paid Program with Mytilineos: Innovation around efficiency, renewables and recycling opens new markets for a metals and ener…",303,0,2023-06-08 09:56:50+00:00
"RT @_akhaliq: HuggingChat, the 100% open-source alternative to ChatGPT by HuggingFace just added a web search feature

Link: https://t.co/v…",299,0,2023-06-07 06:34:55+00:00
RT @MikeHudema: Norway just finished building Europe's largest onshore wind farm. It can generate enough energy to power 1 million homes.…,296,0,2023-06-08 09:29:09+00:00
"RT @Roman_Baber: The Liberals &amp; the @bankofcanada are waging a war on Canadians!
Present inflation isn’t caused by overheating economy but…",288,0,2023-06-08 09:58:43+00:00
"RT @maritstiles: .@Peter_Tabuns: ""Ontario is the only province in Canada that is rated with elevated risk that it can’t meet peak demand.""…",286,0,2023-06-07 23:56:51+00:00
"RT @unusual_whales: JUST IN: The SEC Chair Gary Gensler reportedly offered to serve as an advisor to Binance, as per Binance’s lawyers and…",285,0,2023-06-08 09:36:36+00:00
"RT @BscRetoken: Congratulations to the $RET community, we've reached a new high at the same day

$RET is not just a project, $RET is a life…",269,0,2023-06-08 09:57:05+00:00
"RT @UN: On Saturday’s #WorldBicycleDay &amp; every day, the UN is supporting the use of bicycles to transform mobility, while also helping to c…",267,0,2023-06-07 11:28:56+00:00
"RT @FinPlanKaluAja1: Abia State can set up a electric bicycle industry 

Get a license to assemble and build.

Market dey",264,0,2023-06-03 00:35:25+00:00
RT @arikring: @Jackthelad1947 @charluv2011 @wernerkeil @raduede @Tecgale @MarianSmedley @kirillklip @MLCzone @NPSusa @enricomolinari @Hal_G…,261,0,2023-06-05 02:00:48+00:00
"RT @FDNY: In this new PSA, we urge the public to examine their micromobility devices/batteries for damage, to see if they are certified &amp; c…",258,0,2023-06-05 23:22:11+00:00
"RT @exoticaviation: SEPTEMBER 13TH 1962: an iconic photo, taken by Jim Meads - capturing the moment when 15-year old farmhand Mick Sutterby…",256,0,2023-06-08 09:30:32+00:00
"RT @LiquidPiston: Meet the X-Engine™ – the industry-upending engine that is compatible with a variety of fuels, including hydrogen. This co…",243,0,2023-06-08 08:27:52+00:00
RT @johnredwood: Behind UK electric vehicles  there are gas power stations to recharge them. How does this get us to net zero?,236,0,2023-06-08 09:33:24+00:00
"RT @bobbyllew: A very sensible, grounded, fact filled response to the massively over hyped opinion piece by Mr Atkinson in the @Guardian.
V…",230,0,2023-06-08 09:19:46+00:00
RT @EvaFoxU: I have been supporting Elon Musk and his companies for over 4 years. I do this because I believe in Elon's vision and understa…,221,0,2023-06-06 23:38:16+00:00
RT @techreview: Turkey has become an entry point into the European market for Chinese tech companies. https://t.co/8yLkFfu5Fp,219,0,2023-06-07 13:26:46+00:00
RT @ACCIONA_EN: This new self-healing green hydrogen catalyst developed by the University of Michigan (@umich) is such a promising technolo…,213,0,2023-06-08 08:55:09+00:00
"RT @Ev_Trades: 🎁 $15,000 Giveaway 🎁

🏆 (3) $5K Challenges! 🏆

To Enter Simply:
✅ Like and Retweet
✅ Follow @Legend_Traders and @Ev_Trades…",211,0,2023-06-08 09:10:52+00:00
RT @WhiteHouse: The bipartisan budget agreement protects this Administration’s investments in tackling climate change and advancing clean e…,207,0,2023-06-08 09:00:27+00:00
"RT @InfiblueNFT: 📢We're thrilled to unveil an exciting collaboration between #InfiblueWorld and @RideRawrr 🛵

Want to know all the juicy de…",201,0,2023-06-08 09:30:53+00:00
RT @WhiteHouse: President Biden’s Investing in America agenda has mobilized over $470 billion in private sector manufacturing and clean ene…,200,0,2023-06-08 09:49:42+00:00
RT @guardian: I love electric vehicles – and was an early adopter. But increasingly I feel duped | Rowan Atkinson https://t.co/tKWEWAiPy9,200,0,2023-06-08 10:17:46+00:00
